trade_id,timestamp,entry_price,exit_price,exit_reason,outcome,pnl,stop,target,strategy,signal,direction
PT-20260917145451-3154E0,2026-09-01 09:45:00,23980.55078125,23980.55078125,TARGET_HIT,TARGET_HIT,-0.0,23981.374967447926,23620.84251953125,,BEARISH,BEARISH
PT-20260917145451-9FEF57,2026-09-01 09:50:00,23980.55078125,24055.80078125,TARGET_HIT,TARGET_HIT,-1505.0,23978.84335937501,23620.84251953125,,BEARISH,BEARISH
PT-20260917145451-EC299E,2026-09-02 03:45:00,23824.69921875,23803.400390625,TARGET_HIT,TARGET_HIT,362.080078125,23971.042578125005,23467.32873046875,,BEARISH,BEARISH
PT-20260917145452-ABFDF9,2026-09-02 03:50:00,23803.400390625,23821.69921875,TARGET_HIT,TARGET_HIT,-274.482421875,23961.385937500003,23446.349384765625,,BEARISH,BEARISH
PT-20260917145452-3CF20B,2026-09-02 03:55:00,23821.69921875,23843.25,TARGET_HIT,TARGET_HIT,-409.46484375,23953.081705729168,23464.37373046875,,BEARISH,BEARISH
PT-20260917145452-132BB2,2026-09-02 04:00:00,23843.25,23827.849609375,TARGET_HIT,TARGET_HIT,308.0078125,23946.510058593747,23485.60125,,BEARISH,BEARISH
PT-20260917145452-EDF488,2026-09-02 04:05:00,23827.849609375,23841.599609375,TARGET_HIT,TARGET_HIT,-275.0,23940.025878906246,23470.431865234375,,BEARISH,BEARISH
PT-20260917145452-E52BB6,2026-09-02 04:10:00,23841.599609375,23835.349609375,TARGET_HIT,TARGET_HIT,125.0,23933.77337239583,23483.975615234376,,BEARISH,BEARISH
PT-20260917145452-2872AD,2026-09-02 04:15:00,23835.349609375,23830.69921875,TARGET_HIT,TARGET_HIT,93.0078125,23927.44085286458,23477.819365234376,,BEARISH,BEARISH
PT-20260917145452-44F467,2026-09-02 04:20:00,23830.69921875,23851.0,TARGET_HIT,TARGET_HIT,-406.015625,23920.605859375,23473.23873046875,,BEARISH,BEARISH
PT-20260917145452-54C695,2026-09-02 04:25:00,23851.0,23853.25,TARGET_HIT,TARGET_HIT,-45.0,23913.84173177083,23493.235,,BEARISH,BEARISH
PT-20260917145452-A86AB0,2026-09-02 04:30:00,23853.25,23848.099609375,TARGET_HIT,TARGET_HIT,103.0078125,23907.760904947914,23495.45125,,BEARISH,BEARISH
PT-20260917145452-A5A1A0,2026-09-02 04:35:00,23848.099609375,23848.30078125,TARGET_HIT,TARGET_HIT,-4.0234375,23902.148404947915,23490.378115234376,,BEARISH,BEARISH
PT-20260917145452-07633E,2026-09-02 04:40:00,23848.30078125,23855.400390625,TARGET_HIT,TARGET_HIT,-141.9921875,23896.1083984375,23490.57626953125,,BEARISH,BEARISH
PT-20260917145452-F65C82,2026-09-02 04:45:00,23855.400390625,23876.099609375,TARGET_HIT,TARGET_HIT,-413.984375,23889.82425130209,23497.569384765626,,BEARISH,BEARISH
